ID_Venta,Medicamento,Categoría,Precio_Unitario (USD),Cantidad,Total_Venta (USD),Fecha_Venta,Método_Pago,Sucursal,Receta_Médica,Descuento (%),Stock_Actual
1001,Amoxicilina,Antiinflamatorio,19.35,2,38.7,2023-10-09,Efectivo en Bs,Norte,Sí,0,76
1002,Acetaminofén,Vitamina,47.59,1,47.59,2023-03-27,Efectivo en Bs,Norte,No,0,43
1003,Aspirina,Antibiótico,36.87,6,221.22,2023-09-07,Transferencia,Oeste,No,0,16
1004,Acetaminofén,Vitamina,30.33,5,144.07,2023-09-27,Efectivo en $,Sur,No,5,164
1005,Ibuprofeno,Analgésico,8.64,9,77.76,2023-12-01,Pago Móvil,Norte,No,0,28
1006,Atorvastatina,Analgésico,8.64,1,8.64,2023-04-27,Pago Móvil,Este,No,0,3
1007,Cetirizina,Antiinflamatorio,3.85,7,26.95,2023-01-07,Efectivo en $,Oeste,No,0,80
1008,Aspirina,Analgésico,43.44,5,217.2,2023-05-17,Tarjeta,Sur,No,0,30
1009,Salbutamol,Antialérgico,30.45,5,152.25,2023-06-25,Tarjeta,Este,Sí,0,59
1010,Aspirina,Vitamina,35.7,2,67.83,2023-11-24,Pago Móvil,Oeste,No,5,381
1011,Acetaminofén,Vitamina,2.01,3,6.03,2023-11-11,Tarjeta,Centro,No,0,-5
1012,Ibuprofeno,Vitamina,48.53,7,339.71,2023-08-03,Efectivo en Bs,Este,No,0,1000
1013,Ibuprofeno,Analgésico,41.79,6,238.2,2023-03-23,Efectivo en $,Este,Sí,5,-5
1014,Paracetamol,Antibiótico,11.4,2,22.8,2023-08-11,Efectivo en Bs,Norte,Sí,0,1000
1015,Diclofenaco,Vitamina,9.91,6,59.46,2023-04-13,Efectivo en Bs,Sur,No,0,-5
1016,Ibuprofeno,Vitamina,9.99,2,20.98,2023-09-30,Efectivo en $,Este,No,-5,1000
1017,Aspirina,Vitamina,15.91,2,31.82,2023-01-14,Transferencia,Oeste,Sí,0,84
1018,Metformina,Analgésico,26.71,2,53.42,2023-06-08,Transferencia,Este,No,0,58
1019,Losartán,Antibiótico,22.17,3,66.51,2023-06-01,Efectivo en $,Oeste,Sí,0,42
1020,Loratadina,Antiinflamatorio,15.27,2,30.54,2023-04-18,Efectivo en Bs,Oeste,Sí,0,145
1021,Aspirina,Vitamina,30.98,4,123.92,2023-07-07,Efectivo en Bs,Sur,No,40,51
1022,Amoxicilina,Analgésico,7.84,9,70.56,2023-10-28,Efectivo en Bs,Oeste,No,110,31
1023,Ibuprofeno,Antialérgico,15.32,6,91.92,2023-04-08,Transferencia,Norte,Sí,40,3
1024,Amoxicilina,Antiinflamatorio,18.95,1,18.95,2023-05-11,Transferencia,Oeste,No,110,82
1025,Cetirizina,Antibiótico,23.35,8,149.44,2023-10-20,Efectivo en Bs,Oeste,No,40,89
1026,Loratadina,Antialérgico,39.47,7,262.48,2023-06-20,Tarjeta,Sur,Sí,110,321
1027,Vitamina C,Antibiótico,10.78,3,32.34,2023-07-02,Efectivo en $,Norte,No,0,1
1028,Ibuprofeno,Antiinflamatorio,26.2,1,26.2,2023-12-30,Pago Móvil,Norte,Sí,0,15
1029,Loratadina,Vitamina,30.03,5,142.64,2023-02-08,Pago Móvil,Centro,No,5,5
1030,Vitamina C,Analgésico,3.28,4,13.12,2023-01-15,Tarjeta,Oeste,No,0,13
1031,Omeprazol,Analgésico,30.77,8,246.16,2023-01-04,Efectivo en Bs,Norte,Sí,0,80
1032,Aspirina,Antialérgico,9.36,1,9.83,2023-12-15,Pago Móvil,Sur,No,-5,82
1033,Loratadina,Analgésico,4.19,1,4.19,2023-07-29,Efectivo en Bs,Centro,No,0,37
1034,Paracetamol,Antiinflamatorio,47.5,4,180.5,2023-06-10,Pago Móvil,Este,No,5,9
1035,Vitamina C,Antiinflamatorio,48.32,8,193.28,2023-01-16,Tarjeta,Norte,Sí,50,1
1036,Aspirina,Antiinflamatorio,40.61,5,203.05,2023-04-18,Efectivo en $,Sur,No,0,4
1037,Amoxicilina,Analgésico,15.93,2,31.86,2023-11-07,Efectivo en Bs,Norte,No,0,3
1038,Acetaminofén,Antialérgico,5.79,6,34.74,2023-08-15,Pago Móvil,Sur,No,0,2
1039,Vitamina C,Antialérgico,34.53,5,155.39,2023-06-19,Tarjeta,Oeste,Sí,10,8
1040,Loratadina,Antiinflamatorio,22.57,2,38.37,2023-02-03,Pago Móvil,Este,Sí,15,42
1041,Omeprazol,Antiinflamatorio,6.98,3,18.85,2023-09-08,Pago Móvil,Sur,Sí,10,33
1042,Aspirina,Analgésico,25.26,9,227.34,2023-09-04,Efectivo en Bs,Norte,No,0,68
1043,Salbutamol,Antibiótico,2.69,7,16.95,2023-09-26,Pago Móvil,Oeste,No,10,38
1044,Losartán,Vitamina,45.56,7,255.14,2023-05-21,Tarjeta,Oeste,Sí,20,96
1045,Ibuprofeno,Antibiótico,13.68,6,77.98,2023-10-01,Transferencia,Norte,No,5,6
1046,Acetaminofén,Vitamina,33.46,8,187.38,2023-04-06,Pago Móvil,Centro,No,30,11
1047,Metformina,Vitamina,16.27,4,58.57,2023-08-15,Efectivo en $,Sur,No,10,175
1048,Diclofenaco,Vitamina,26.48,8,201.25,2023-02-08,Transferencia,Oeste,Sí,5,8
1049,Acetaminofén,Analgésico,27.79,4,111.16,2023-10-29,Transferencia,Este,Sí,0,99
1050,Paracetamol,Antialérgico,10.06,8,80.48,2023-01-29,Efectivo en $,Oeste,Sí,0,83
1051,Metformina,Antibiótico,48.51,9,436.59,2023-11-14,Efectivo en bs,Centro,No,0,59
1052,Ibuprofeno,Vitamina,38.98,3,111.09,2023-09-02,Efectivo en $,Oeste,No,5,33
1053,Omeprazol,Antiinflamatorio,47.04,3,141.12,2023-08-24,Pago móvil,Este,No,0,52
1054,Loratadina,Antibiótico,44.85,2,76.24,2023-07-04,Tarjeta,Norte,No,15,13
1055,Cetirizina,Antibiótico,30.3,3,45.45,2023-09-29,transferencia,Sur,No,50,19
1056,Vitamina C,Antiinflamatorio,46.17,3,124.66,2023-08-24,Efectivo en $,Oeste,No,10,40
1057,Cetirizina,Antiinflamatorio,5.34,5,26.7,2023-08-27,Pago Móvil,Sur,Sí,0,97
1058,Cetirizina,Analgésico,10.6,5,53.0,2023-09-23,Pago Móvil,Oeste,No,0,2
1059,Losartán,Antibiótico,3.22,2,6.44,2023-12-25,Efectivo en $,Norte,Sí,0,83
1060,Metformina,Analgésico,16.94,6,96.56,2023-12-06,Efectivo en $,Sur,No,5,96
1061,Metformina,antibiótico,20.05,5,90.22,2023-03-06,Transferencia,Oeste,No,10,64
1062,Omeprazol,Vitamina,14.3,6,68.64,2023-06-26,Transferencia,Sur,Sí,20,484
1063,Aspirina,ANALGÉSICO,41.61,1,41.61,2023-01-03,Transferencia,Centro,Sí,0,80
1064,Aspirina,Antiinflamatorio,18.48,5,73.92,2023-05-22,Efectivo en Bs,Oeste,No,20,91
1065,Salbutamol,Antialérgico,14.77,9,112.99,2023-06-07,Transferencia,Este,No,15,68
1066,Metformina,Vitamina,27.59,2,55.18,2023-11-20,Pago Móvil,Centro,Sí,0,2
1067,Cetirizina,Vitamina,7.91,1,6.72,2023-05-26,Transferencia,Norte,Sí,15,36
1068,Losartán,Antibiótico,40.31,9,362.79,2023-10-20,Efectivo en $,Norte,No,0,15
1069,Vitamina C,Antiinflamatorio,4.65,9,41.85,2023-06-02,Efectivo en Bs,Sur,No,0,59
1070,Acetaminofén,Antibiótico,49.36,9,422.03,2023-07-12,Tarjeta,Sur,No,5,88
1071,Amoxicilina,Antiinflamatorio,38.84,6,233.04,2023-03-14,Tarjeta,Centro,No,0,79
1072,Paracetamol,Antiinflamatorio,10.74,8,81.62,2023-11-01,Tarjeta,Este,No,5,82
1073,Aspirina,Antialérgico,1.27,1,1.21,2023-12-10,Efectivo en Bs,Norte,No,5,14
1074,Atorvastatina,Antiinflamatorio,40.96,4,163.84,2023-05-20,Efectivo en $,Sur,Sí,0,7
1075,Acetaminofén,Analgésico,35.64,1,35.64,2023-07-06,Transferencia,Centro,No,0,97
1076,Diclofenaco,Analgésico,36.72,8,293.76,2023-10-20,Efectivo en Bs,Norte,Sí,0,416
1077,Cetirizina,Analgésico,38.79,1,38.79,2023-03-02,Efectivo en Bs,Centro,Sí,0,17
1078,Salbutamol,Antialérgico,4.63,3,13.89,2023-07-17,Efectivo en Bs,Sur,No,0,74
1079,Vitamina C,Analgésico,18.56,4,74.24,2023-10-22,Efectivo en Bs,Sur,No,0,24
1080,Cetirizina,Vitamina,6.68,8,53.44,2023-11-15,Tarjeta,Sur,No,0,116
1081,Acetaminofén,Antiinflamatorio,43.29,6,259.74,2023-10-29,Efectivo en $,Sur,Sí,0,19
1082,Aspirina,Antialérgico,31.54,7,220.78,2023-12-10,Pago Móvil,Oeste,Sí,0,45
1083,Salbutamol,Analgésico,17.21,8,130.8,2023-01-11,Efectivo en $,Oeste,No,5,97
1084,Cetirizina,Antialérgico,4.11,2,7.4,2023-03-03,Efectivo en Bs,Centro,No,10,52
1085,Losartán,Antialérgico,16.24,8,129.92,2023-11-29,Pago Móvil,Centro,No,0,79
1086,Vitamina C,Analgésico,16.93,3,50.79,2023-08-14,Efectivo en Bs,Centro,No,0,83
1087,Loratadina,Antibiótico,36.75,7,270.11,2023-06-02,Efectivo en $,Sur,No,-5,18
1088,Acetaminofén,Vitamina,32.24,3,87.05,2023-07-18,Efectivo en $,Norte,No,10,441
1089,Diclofenaco,Antiinflamatorio,44.47,7,249.03,2023-02-21,Pago Móvil,Centro,No,20,87
1090,Losartán,Vitamina,24.14,2,43.45,2023-09-17,Efectivo en Bs,Sur,Sí,10,14
1091,Atorvastatina,Antibiótico,6.86,6,41.16,2023-02-28,Efectivo en Bs,Oeste,No,0,23
1092,Cetirizina,Antibiótico,35.95,3,107.85,2023-03-13,Pago Móvil,Este,Sí,0,4
1093,Omeprazol,Antibiótico,38.28,3,114.84,2023-05-28,Efectivo en $,Oeste,Sí,0,13
1094,Ibuprofeno,Antiinflamatorio,28.5,9,256.5,2023-12-15,Efectivo en Bs,Oeste,Sí,0,92
1095,Acetaminofén,Antialérgico,38.78,7,271.46,2023-03-04,Efectivo en Bs,Este,No,0,92
1096,Salbutamol,Antibiótico,25.2,5,126.0,2023-11-06,Efectivo en Bs,Norte,No,0,325
1097,Ibuprofeno,Analgésico,26.61,7,186.27,2023-08-31,Efectivo en $,Centro,No,0,14
1098,Ibuprofeno,Vitamina,21.95,9,187.67,2023-11-26,Efectivo en $,Sur,No,5,26
1099,Metformina,Antiinflamatorio,2.25,1,2.14,2023-04-17,Transferencia,Este,No,5,18
1100,Aspirina,Antibiótico,6.29,7,44.03,2023-08-14,Pago Móvil,Oeste,Sí,0,281
1101,Vitamina C,Vitamina,2.54,6,13.72,2023-11-09,Pago Móvil,Sur,No,10,30
1102,Aspirina,Antibiótico,32.18,9,289.62,2023-08-06,Tarjeta,Oeste,No,0,299
1103,Atorvastatina,Antibiótico,16.4,1,13.94,2023-08-29,Tarjeta,Sur,No,15,79
1104,Omeprazol,Antibiótico,25.92,4,103.68,2023-09-16,Efectivo en $,Este,No,0,96
1105,Paracetamol,Antibiótico,45.47,9,429.69,2023-09-19,Efectivo en Bs,Oeste,No,-5,69
1106,Loratadina,Analgésico,13.22,4,50.24,2023-01-05,Efectivo en Bs,Oeste,Sí,5,79
1107,Ibuprofeno,Antibiótico,21.11,3,63.33,2023-09-18,Transferencia,Este,No,0,51
1108,Loratadina,Antibiótico,38.02,9,342.18,2023-02-23,Efectivo en Bs,Norte,No,0,89
1109,Diclofenaco,Vitamina,12.21,2,24.42,2023-02-16,Efectivo en $,Sur,Sí,0,17
1110,Diclofenaco,Antialérgico,4.77,4,19.08,2023-08-03,Efectivo en $,Sur,Sí,0,18
1111,Atorvastatina,Antibiótico,15.2,6,91.2,2023-06-26,Efectivo en $,Centro,No,0,61
1112,Vitamina C,Antialérgico,8.9,2,16.91,2023-01-09,Pago Móvil,Centro,No,5,9
1113,Amoxicilina,Antibiótico,46.56,8,372.48,2023-04-09,Efectivo en $,Sur,No,0,6
1114,Atorvastatina,Antialérgico,40.6,8,308.56,2023-01-20,Efectivo en $,Este,Sí,5,112
1115,Omeprazol,Antialérgico,32.04,1,25.63,2023-08-29,Efectivo en Bs,Oeste,No,20,33
1116,Salbutamol,Antibiótico,43.7,3,131.1,2023-03-02,Pago Móvil,Centro,Sí,0,65
1117,Cetirizina,Antibiótico,40.38,9,363.42,2023-06-27,Efectivo en $,Oeste,Sí,0,469
1118,Amoxicilina,Analgésico,10.14,5,50.7,2023-12-04,Efectivo en Bs,Este,Sí,0,69
1119,Amoxicilina,Vitamina,44.74,6,255.02,2023-03-03,Pago Móvil,Este,Sí,5,19
1120,Salbutamol,Vitamina,27.43,4,109.72,2023-05-25,Efectivo en $,Este,Sí,0,97
1121,Losartán,Analgésico,40.56,2,40.56,2023-08-04,Efectivo en $,Sur,No,50,2
1122,Losartán,Antialérgico,44.91,8,323.35,2023-01-03,Pago Móvil,Norte,No,10,56
1123,Salbutamol,Vitamina,16.58,6,99.48,2023-06-09,Pago Móvil,Centro,No,0,282
1124,Vitamina C,Vitamina,6.39,5,31.95,2023-08-15,Tarjeta,Sur,No,0,35
1125,Loratadina,Antibiótico,12.17,9,93.1,2023-09-26,Efectivo en $,Oeste,Sí,15,97
1126,Omeprazol,Antiinflamatorio,21.93,1,19.74,2023-04-30,Efectivo en Bs,Norte,No,10,37
1127,Amoxicilina,Analgésico,41.08,5,205.4,2023-03-30,Pago Móvil,Centro,Sí,0,19
1128,Acetaminofén,Analgésico,43.18,6,259.08,2023-11-25,Efectivo en $,Este,No,0,78
1129,Atorvastatina,Antiinflamatorio,1.34,5,6.03,2023-03-09,Efectivo en Bs,Norte,No,10,19
1130,Ibuprofeno,Antiinflamatorio,26.03,6,156.18,2023-12-23,Transferencia,Centro,Sí,0,17
1131,Acetaminofén,Vitamina,21.45,6,102.96,2023-04-08,Efectivo en Bs,Oeste,No,20,6
1132,Atorvastatina,Antibiótico,11.88,7,83.16,2023-09-24,Pago Móvil,Este,No,0,92
1133,Cetirizina,Analgésico,6.87,4,27.48,2023-04-15,Efectivo en Bs,Centro,No,0,28
1134,Metformina,Antialérgico,17.54,8,126.29,2023-11-19,Tarjeta,Sur,No,10,19
1135,Metformina,Antibiótico,47.2,7,330.4,2023-05-03,Pago Móvil,Centro,No,0,79
1136,Metformina,Vitamina,16.84,9,151.56,2023-01-29,Transferencia,Norte,No,0,461
1137,Paracetamol,Vitamina,26.42,7,184.94,2023-05-17,Transferencia,Norte,No,0,1
1138,Paracetamol,Analgésico,35.45,3,106.35,2023-07-14,Transferencia,Norte,No,0,48
1139,Amoxicilina,Antibiótico,18.82,3,53.64,2023-08-14,Efectivo en Bs,Norte,No,5,81
1140,Aspirina,Antiinflamatorio,48.62,8,388.96,2023-11-28,Efectivo en Bs,Centro,No,0,36
1141,Losartán,Antialérgico,48.16,5,240.8,2023-06-19,Pago Móvil,Este,Sí,0,22
1142,Salbutamol,Antibiótico,13.34,4,48.02,2023-01-09,Efectivo en Bs,Norte,No,10,5
1143,Atorvastatina,Antiinflamatorio,25.37,8,192.81,2023-02-09,Transferencia,Oeste,Sí,5,50
1144,Salbutamol,Antialérgico,15.74,6,94.44,2023-01-25,Pago Móvil,Centro,No,0,33
1145,Losartán,Antialérgico,14.96,2,29.92,2023-09-18,Efectivo en $,Oeste,No,0,33
1146,Cetirizina,Antialérgico,2.81,4,8.99,2023-08-14,Efectivo en Bs,Sur,No,20,17
1147,Omeprazol,Antibiótico,30.87,4,111.13,2023-05-04,Tarjeta,Norte,No,10,41
1148,Atorvastatina,Antiinflamatorio,25.63,6,153.78,2023-02-07,Efectivo en Bs,Norte,Sí,0,75
1149,Salbutamol,Antiinflamatorio,3.52,6,21.12,2023-11-24,Pago Móvil,Centro,No,0,9
1150,Vitamina C,Antibiótico,14.65,1,14.65,2023-09-08,Transferencia,Oeste,No,0,262
1151,Atorvastatina,Antibiótico,45.51,8,345.88,2023-06-25,Tarjeta,Centro,No,5,260
1152,Paracetamol,Antiinflamatorio,12.74,6,64.97,2023-03-31,Tarjeta,Sur,Sí,15,189
1153,Aspirina,Antibiótico,8.1,3,23.08,2023-02-06,Efectivo en Bs,Norte,No,5,422
1154,Aspirina,Antibiótico,24.98,9,202.34,2023-11-12,Pago Móvil,Este,No,10,73
1155,Loratadina,Vitamina,49.3,2,88.74,2023-06-25,Pago Móvil,Centro,No,10,72
1156,Vitamina C,Antialérgico,12.86,8,102.88,2023-10-11,Efectivo en Bs,Sur,No,0,50
1157,Losartán,Antiinflamatorio,33.93,3,101.79,2023-03-22,Efectivo en Bs,Oeste,No,0,16
1158,Losartán,Antiinflamatorio,38.32,5,191.6,2023-04-24,Efectivo en Bs,Centro,No,0,77
1159,Ibuprofeno,Antibiótico,12.64,6,75.84,2023-02-09,Transferencia,Este,Sí,0,72
1160,Paracetamol,Antiinflamatorio,36.68,6,187.07,2023-10-28,Transferencia,Este,No,15,29
1161,Atorvastatina,Antibiótico,19.02,4,76.08,2023-08-12,Efectivo en $,Oeste,No,0,74
1162,Cetirizina,Analgésico,31.98,3,95.94,2023-11-14,Pago Móvil,Este,No,0,16
1163,Loratadina,Antiinflamatorio,32.04,4,128.16,2023-12-15,Efectivo en Bs,Norte,Sí,0,64
1164,Losartán,Antibiótico,27.25,1,27.25,2023-04-25,Pago Móvil,Norte,No,0,95
1165,Vitamina C,Antibiótico,5.42,4,21.68,2023-07-05,Efectivo en Bs,Oeste,No,0,29
1166,Vitamina C,Antiinflamatorio,41.93,1,41.93,2023-11-19,Efectivo en $,Oeste,No,0,52
1167,Atorvastatina,Antialérgico,16.72,1,15.88,2023-02-25,Efectivo en $,Sur,No,5,421
1168,Atorvastatina,Vitamina,10.14,6,60.84,2023-02-09,Efectivo en Bs,Este,Sí,0,7
1169,Metformina,Vitamina,3.0,5,14.25,2023-12-20,Pago Móvil,Oeste,No,5,98
1170,Losartán,Antibiótico,29.95,4,119.8,2023-02-09,Efectivo en $,Oeste,Sí,0,13
1171,Loratadina,Vitamina,34.2,3,102.6,2023-12-13,Tarjeta,Sur,No,0,18
1172,Salbutamol,Antibiótico,1.81,1,1.81,2023-08-25,Pago Móvil,Sur,Sí,0,92
1173,Acetaminofén,Analgésico,26.09,6,156.54,2023-10-16,Transferencia,Este,No,0,13
1174,Metformina,Antiinflamatorio,12.1,2,22.99,2023-09-19,Efectivo en $,Oeste,No,5,82
1175,Omeprazol,Antialérgico,32.61,8,260.88,2023-08-04,Efectivo en $,Oeste,No,0,32
1176,Salbutamol,Analgésico,9.54,5,47.7,2023-05-27,Transferencia,Norte,Sí,0,85
1177,Diclofenaco,Antiinflamatorio,34.86,7,231.82,2023-12-02,Transferencia,Oeste,No,5,9
1178,Metformina,Antiinflamatorio,19.95,2,39.9,2023-06-17,Efectivo en Bs,Centro,Sí,0,82
1179,Amoxicilina,Vitamina,46.9,8,375.2,2023-04-02,Tarjeta,Centro,No,0,6
1180,Atorvastatina,Antialérgico,7.74,2,13.93,2023-12-19,Efectivo en $,Oeste,Sí,10,63
1181,Acetaminofén,Vitamina,17.71,4,67.3,2023-02-28,Pago Móvil,Centro,Sí,5,37
1182,Omeprazol,Vitamina,6.56,1,6.56,2023-02-28,Transferencia,Centro,No,0,52
1183,Diclofenaco,Antibiótico,46.31,5,185.24,2023-10-31,Efectivo en $,Oeste,No,20,60
1184,Omeprazol,Antialérgico,43.99,9,356.32,2023-06-18,Efectivo en Bs,Norte,Sí,10,43
