ID_Producto,Marca,Modelo,Precio (USD),Talla,Color,Material,Peso (gr),Disponibilidad,Rating,Tipo_Deporte,Garantía (meses),Fecha_Lanzamiento
5001,Nkie,Chuck Taylor,106.18,8.6,Negro,Sintético,211.6,No,4,Basketball,6,2022-03-03
5002,New Balance,Chuck Taylor,192.61,11.0,Gris,Sintético,393.8,En stock,1,Basketball,12,2021-06-16
5003,Reebok,Free Run,159.8,8.9,Gris,Sintético,376.8,Sí,2,Fútbol,6,2022-09-05
5004,Nike,RS-X,139.8,8.9,Rojo,Cuero,385.6,Sí,5,Deporte,6,2023-08-09
5005,New Balance,Free Run,73.4,11.1,Verde,Malla,399.0,No,2,Deporte,6,2022-03-20
5006,Nike,Ultraboost,73.4,7.8,Azul,Sintético,234.8,Sí,1,Basketball,6,2022-07-01
5007,Adidas,Ultraboost,58.71,5.9,Rojo,,279.2,Sí,5,Tenis,12,2023-01-29
5008,Under Armour,Free Run,179.93,5.2,Gris,Lona,351.6,No,2,Deporte,6,2023-08-20
5009,New Balance,Free Run,140.17,10.3,Negro,,339.2,En stock,3,Tenis,6,2022-05-20
5010,Adidas,Ultraboost,156.21,9.3,Rojo Oscuro,,230.8,Sí,1,Fútbol,12,2021-06-23
5011,Addidas,air max,53.09,9.9,Blanco,Sintético,363.2,Sí,1,Deporte,6,2022-10-20
5012,Addidas,ULTRABOOST,195.49,6.5,Gris,Sintético,244.9,Sí,1,Gym,24,2023-10-10
5013,Addidas,rs-x,174.87,6.0,Rojo Oscuro,Lona,244.8,No,3,Fútbol,12,2023-08-19
5014,Addidas,Clasik,81.85,5.1,Rojo Oscuro,Malla,307.4,Sí,3,Deporte,12,2020-08-14
5015,Addidas,Ultraboost,77.27,7.5,blanco,,318.6,Sí,4,Tenis,12,2023-06-13
5016,Addidas,,77.51,9.1,NEGRO,Lona,316.0,No,2,Deporte,6,2022-05-22
5017,nike,Ultraboost,95.64,7.7,rojo oscuro,Malla,218.3,Sí,4,Tenis,12,2022-06-10
5018,ADIDAS,Classic,128.71,8.1,Azull,Sintético,375.5,Sí,2,Fútbol,6,2022-11-02
5019,puma,Free Run,114.79,11.3,Negro,cuero,253.1,Sí,3,Running,24,2020-07-28
5020,Rebok,Chuck Taylor,93.68,7.4,Negro,MALLA,225.9,No,3,Gym,6,2022-01-10
5021,Adidas,Ultraboost,-20.0,8.6,Azul,Sintetico,377.7,Sí,4,Gym,12,2021-01-31
5022,Reebok,RS-X,2000.0,10.5,Rojo,Sintético,391.1,Sí,5,running,12,2023-01-28
5023,Reebok,Chuck Taylor,999.0,7.8,Negro,Sintético,372.4,Sí,4,FÚTBOL,6,2020-01-31
5024,Adidas,Classic,-50.0,9.4,Verde,,361.9,No,2,Deporte,6,2022-06-16
5025,Puma,Classic,1500.0,11.0,Azul,,331.0,No,4,Fútbol,12,2021-10-10
5026,New Balance,Chuck Taylor,888.0,11.6,Rojo Oscuro,Cuero,310.2,En stock,1,Running,24,2020-11-24
5027,Under Armour,Free Run,79.95,6.0,Negro,,217.4,Sí,2,Deporte,6,2023-04-04
5028,Under Armour,Chuck Taylor,127.14,11.5,Blanco,Cuero,281.7,Sí,2,Running,12,2022-08-09
5029,New Balance,,138.86,8.4,Verde,,274.5,Sí,5,Tenis,-3,2023-01-28
5030,Puma,Free Run,56.97,6.8,Rojo,,252.0,Sí,3,Basketball,24,2021-09-12
5031,Puma,,141.13,42.0,Gris,Malla,344.7,No,2,Deporte,6,2023-04-11
5032,New Balance,Air Max,75.58,44.0,Azul,Sintético,299.2,Sí,3,Gym,12,2020-06-10
5033,Under Armour,Ultraboost,59.76,7.5,Azul,Sintético,216.2,Sí,4,Gym,6,2022-02-14
5034,Under Armour,Classic,192.33,41.0,Verde,Malla,244.0,Sí,1,Deporte,-3,2023-07-10
5035,Reebok,Air Max,194.84,45.0,Gris,Cuero,336.7,Sí,5,Deporte,12,2020-09-30
5036,Nike,Free Run,171.26,8.0,Verde,,215.2,Sí,3,Basketball,6,2022-10-23
5037,Puma,Ultraboost,95.69,5.5,Blanco,Cuero,370.2,No,2,Deporte,12,2022-11-17
5038,New Balance,Air Max,64.65,5.9,Rojo,,299.0,No,3,Running,6,2020-11-21
5039,Adidas,,152.63,5.9,Verde,Malla,296.1,No,2,Running,-3,2022-07-28
5040,Nike,Free Run,116.02,6.1,Azul,Lona,318.5,No,3,Deporte,-3,2023-03-18
5041,Nike,Chuck Taylor,68.31,6.0,Rojo Oscuro,Sintético,364.9,Sí,0,Tenis,12,2021-06-23
5042,New Balance,Ultraboost,124.28,9.5,Azul,,269.6,No,6,Running,6,2021-05-02
5043,Puma,,55.16,6.3,Azul,Malla,335.6,Sí,10,Gym,12,2022-04-01
5044,Nike,Air Max,186.4,7.4,Rojo,Sintético,313.1,En stock,7,Running,6,2022-12-24
5045,Adidas,Classic,88.82,11.3,Gris,Lona,253.4,Sí,-1,Gym,6,2020-12-21
5046,Under Armour,Free Run,149.38,8.3,Blanco,Malla,375.7,Sí,12,Deporte,24,2023-06-29
5047,Puma,Free Run,96.76,9.7,Rojo Oscuro,,359.5,Sí,1,Basketball,6,2020-08-22
5048,Puma,Classic,128.01,6.2,Verde,Lona,331.7,Sí,5,Tenis,6,2020-08-14
5049,Adidas,Air Max,132.01,6.3,Gris,Sintético,370.1,Sí,1,Fútbol,-3,2023-08-29
5050,New Balance,Air Max,77.73,5.3,Blanco,,373.5,Sí,4,Running,6,2020-02-18
5051,Addidas,Ultraboost,195.44,6.2,Rojo Oscuro,Lona,341.7,No,1,Deporte,6,2020-04-27
5052,Reebok,RS-X,166.27,7.0,Azul,,367.4,Sí,5,Basketball,-3,2020-02-23
5053,Adidas,Classic,190.92,6.2,Rojo,,339.5,No,4,Deporte,6,2021-07-18
5054,Adidas,Classic,184.22,5.6,Verde,Cuero,336.0,Sí,3,Tenis,12,2022-12-03
5055,Reebok,RS-X,139.68,5.8,Negro,Sintético,323.7,Sí,3,Basketball,-3,2020-02-22
5056,Reebok,Free Run,188.28,8.2,Verde,Sintético,350.5,En stock,1,Fútbol,-3,2021-07-11
5057,Reebok,RS-X,63.27,6.4,Azul,Lona,231.7,No,1,Deporte,12,2023-01-30
5058,Nike,RS-X,79.4,7.5,Gris,Sintético,376.2,Sí,5,Tenis,6,2022-05-17
5059,New Balance,Chuck Taylor,56.78,8.5,Negro,Sintético,374.4,Sí,5,Fútbol,6,2021-02-01
5060,New Balance,Air Max,98.8,9.8,Rojo,Cuero,205.8,Sí,2,Running,24,2023-03-07
5061,New Balance,Air Max,108.3,5.3,Azul,Malla,365.2,Sí,5,Tenis,24,2021-11-05
5062,Adidas,,90.7,10.6,Negro,Sintético,225.8,Sí,2,Deporte,12,2021-01-21
5063,Puma,Free Run,174.31,9.4,Blanco,Malla,267.0,Sí,4,Basketball,6,2020-04-20
5064,New Balance,,103.51,5.6,Negro,,348.7,Sí,1,Gym,6,2021-09-05
5065,New Balance,RS-X,92.14,11.1,Verde,Sintético,232.2,Sí,4,Basketball,6,2020-01-17
5066,Nike,RS-X,131.4,11.4,Negro,Sintético,363.6,Sí,5,Running,12,2023-04-20
5067,New Balance,,71.14,5.4,Gris,Malla,366.4,Sí,4,Basketball,12,2022-06-02
5068,Under Armour,Classic,170.33,6.9,Gris,Lona,301.5,Sí,4,Basketball,-3,2021-06-24
5069,Puma,Free Run,61.18,10.6,Verde,Sintético,201.3,No,4,Fútbol,12,2020-06-19
5070,Under Armour,Classic,198.03,10.2,Negro,,257.4,Sí,5,Deporte,6,2021-02-12
5071,Reebok,Free Run,165.84,6.3,Verde,Cuero,323.4,Sí,4,Gym,12,2022-01-09
5072,Nike,Air Max,79.81,6.5,Negro,,396.2,En stock,2,Fútbol,12,2023-11-02
5073,Reebok,Chuck Taylor,50.83,7.6,Gris,Cuero,326.4,Sí,5,Tenis,12,2023-04-26
5074,Under Armour,Classic,172.32,8.4,Gris,Sintético,252.0,Sí,4,Fútbol,12,2022-05-07
5075,Reebok,Classic,156.03,9.3,Negro,,326.8,Sí,5,Tenis,24,2020-08-17
5076,Adidas,Air Max,159.35,7.6,Verde,,308.0,Sí,3,Deporte,24,2020-04-28
5077,New Balance,Chuck Taylor,165.69,8.2,Verde,Lona,356.0,No,2,Deporte,6,2023-03-25
5078,Reebok,Ultraboost,61.11,10.2,Verde,Lona,221.4,Sí,4,Deporte,6,2022-02-22
5079,Puma,RS-X,103.77,5.3,Gris,Malla,352.2,No,3,Gym,12,2021-04-09
5080,Puma,Free Run,67.38,6.8,Rojo,Sintético,308.3,Sí,3,Tenis,6,2020-04-13
5081,Puma,Air Max,179.47,10.0,Azul,Sintético,392.6,Sí,5,Running,6,2021-11-28
5082,Puma,Air Max,143.49,11.3,Negro,Lona,268.4,Sí,3,Running,6,2020-06-23
5083,Under Armour,RS-X,99.63,8.6,Negro,Lona,326.5,Sí,2,Deporte,12,2022-01-14
5084,Puma,Air Max,59.53,8.7,Negro,Malla,386.4,No,2,Gym,6,2023-12-15
5085,Puma,Free Run,96.65,5.8,Verde,Malla,220.5,Sí,1,Fútbol,12,2023-03-03
5086,New Balance,RS-X,98.78,8.1,Negro,Sintético,387.4,No,2,Tenis,-3,2023-11-15
5087,Nike,Air Max,159.44,8.7,Blanco,,337.6,Sí,3,Running,6,2021-10-26
5088,Adidas,Classic,145.63,6.7,Verde,,213.6,Sí,2,Gym,6,2020-02-02
5089,Reebok,Chuck Taylor,183.08,6.9,Rojo,,260.2,No,5,Basketball,6,2020-02-24
5090,Under Armour,Chuck Taylor,120.83,7.6,Blanco,,341.6,Sí,1,Deporte,24,2021-06-02
5091,Puma,Ultraboost,67.94,5.1,Rojo Oscuro,Cuero,213.5,No,3,Basketball,6,2022-01-25
5092,Under Armour,Free Run,156.99,7.3,Gris,Lona,316.4,No,1,Gym,6,2020-01-12
5093,Under Armour,,164.12,6.5,Rojo,,269.2,En stock,3,Basketball,6,2021-12-20
5094,Puma,Classic,134.19,7.3,Rojo,Cuero,324.2,No,5,Gym,12,2021-07-08
5095,Reebok,Ultraboost,165.65,5.8,Rojo,Lona,209.1,Sí,1,Deporte,12,2021-01-07
5096,Nike,Chuck Taylor,124.07,11.2,Azul,Malla,374.3,No,4,Gym,12,2021-04-28
5097,Reebok,Ultraboost,128.41,9.2,Azul,Sintético,394.7,Sí,3,Deporte,-3,2022-08-30
5098,Puma,Air Max,114.13,9.8,Negro,Sintético,393.8,Sí,4,Fútbol,6,2023-06-05
5099,Nike,Air Max,53.81,10.5,Verde,,349.9,Sí,1,Deporte,24,2021-09-14
5100,Nike,Classic,66.18,8.5,Blanco,Malla,226.0,En stock,4,Fútbol,6,2020-11-02
5101,Reebok,Air Max,54.71,5.6,Verde,Sintético,351.7,No,4,Running,24,2021-04-01
5102,Nike,Air Max,145.46,8.8,Blanco,Sintético,204.9,Sí,1,Deporte,12,2020-06-08
5103,Puma,Ultraboost,97.15,9.1,Verde,Malla,204.4,Sí,5,Gym,24,2020-11-26
5104,New Balance,Free Run,126.29,10.2,Gris,,264.7,No,4,Fútbol,6,2022-02-14
5105,Under Armour,RS-X,186.13,8.0,Rojo,Malla,297.7,Sí,4,Deporte,6,2020-08-12
5106,Reebok,,87.39,5.9,Negro,Lona,354.1,Sí,5,Gym,6,2022-09-09
5107,Puma,Free Run,111.56,7.0,Verde,,336.7,Sí,4,Running,6,2021-12-29
5108,Reebok,Free Run,163.33,7.5,Azul,,289.2,No,4,Gym,6,2022-12-04
5109,Adidas,RS-X,84.32,9.5,Gris,,254.7,Sí,4,Gym,6,2023-05-22
5110,Under Armour,Free Run,61.55,9.0,Negro,,399.4,Sí,2,Gym,6,2022-12-18
5111,Nike,Air Max,93.46,7.5,Azul,Malla,285.2,En stock,5,Fútbol,12,2021-10-05
5112,Adidas,Classic,74.18,11.9,Blanco,Lona,290.3,No,4,Tenis,24,2021-09-07
5113,Nike,Air Max,189.45,9.2,Azul,,232.7,Sí,5,Deporte,12,2020-07-13
5114,Adidas,Ultraboost,171.22,6.7,Rojo,Sintético,359.0,En stock,3,Running,6,2021-05-03
5115,New Balance,RS-X,145.01,5.7,Gris,Malla,338.7,Sí,3,Gym,12,2020-06-05
5116,Adidas,Classic,180.72,6.1,Verde,,244.2,Sí,4,Running,6,2021-09-01
5117,Adidas,Air Max,170.55,6.7,Blanco,Cuero,216.5,Sí,5,Running,-3,2023-06-03
5118,Puma,,77.99,6.1,Rojo Oscuro,Sintético,336.1,Sí,5,Deporte,6,2021-02-15
5119,Nike,Classic,183.88,6.3,Rojo Oscuro,Sintético,330.9,No,5,Deporte,12,2023-05-13
5120,Reebok,Free Run,130.9,7.0,Rojo,Cuero,254.7,Sí,2,Gym,-3,2023-01-07
5121,New Balance,Classic,171.12,6.2,Negro,Malla,390.2,Sí,3,Tenis,24,2023-02-21
5122,Adidas,RS-X,184.41,11.3,Rojo,Sintético,230.2,No,5,Deporte,12,2021-04-15
5123,Adidas,Classic,97.7,5.6,Gris,Cuero,286.5,Sí,5,Gym,24,2023-05-26
5124,Reebok,Free Run,66.51,8.7,Gris,Lona,388.7,No,2,Tenis,-3,2021-05-30
5125,New Balance,RS-X,84.19,7.9,Rojo Oscuro,,283.9,Sí,2,Fútbol,12,2023-02-01
5126,Adidas,Chuck Taylor,114.07,11.9,Azul,,327.7,No,5,Tenis,12,2021-01-27
5127,Nike,Ultraboost,172.7,5.8,Azul,Lona,279.5,Sí,1,Deporte,12,2021-09-22
5128,Under Armour,,179.11,7.8,Azul,Malla,254.8,Sí,5,Running,12,2021-08-30
5129,Reebok,Free Run,51.04,11.8,Blanco,Cuero,396.8,No,5,Running,12,2022-09-06
5130,Nike,Ultraboost,126.61,11.1,Azul,Lona,281.9,No,2,Tenis,12,2021-03-09
5131,Adidas,Ultraboost,112.61,10.7,Rojo Oscuro,Cuero,378.8,No,2,Gym,6,2023-09-16
5132,Adidas,Classic,83.32,6.8,Rojo Oscuro,,246.0,En stock,5,Running,6,2023-03-12
5133,Reebok,Air Max,67.98,6.2,Azul,Lona,242.6,Sí,5,Fútbol,6,2021-06-23
5134,Nike,Chuck Taylor,100.64,9.7,Negro,Cuero,206.2,No,5,Running,6,2020-10-04
5135,Reebok,Classic,191.44,11.5,Verde,Lona,330.3,Sí,2,Basketball,6,2020-08-20
5136,Nike,Free Run,98.48,8.9,Gris,Malla,273.7,Sí,5,Tenis,12,2023-01-18
5137,Adidas,RS-X,127.82,9.0,Azul,Malla,372.9,No,5,Deporte,6,2023-05-07
5138,Reebok,Chuck Taylor,155.45,7.0,Gris,Cuero,294.6,Sí,4,Running,24,2020-12-27
5139,Adidas,Air Max,104.54,10.4,Rojo Oscuro,Sintético,393.6,En stock,1,Basketball,6,2020-01-26
5140,Nike,Free Run,195.77,6.3,Verde,,237.1,En stock,3,Basketball,6,2022-11-14
5141,Puma,Classic,194.37,7.3,Gris,Cuero,373.7,Sí,1,Running,12,2023-11-18
5142,Puma,Classic,87.77,8.0,Negro,Malla,355.3,Sí,4,Fútbol,12,2021-05-21
5143,Adidas,Chuck Taylor,124.59,8.6,Azul,Sintético,354.2,No,3,Deporte,6,2023-08-17
5144,Reebok,Chuck Taylor,95.13,6.7,Gris,Lona,369.0,Sí,5,Basketball,24,2023-09-24
5145,Reebok,Free Run,92.73,5.8,Blanco,Lona,352.2,Sí,4,Running,24,2020-09-23
5146,Reebok,Classic,55.53,9.3,Verde,Sintético,325.2,Sí,5,Basketball,6,2021-04-05
5147,Under Armour,Chuck Taylor,141.43,7.0,Azul,Sintético,226.2,Sí,2,Running,6,2021-03-31
5148,Adidas,Free Run,125.4,9.1,Negro,Malla,206.5,Sí,4,Gym,-3,2023-10-15
5149,Nike,,57.72,6.1,Blanco,Malla,384.2,Sí,2,Running,12,2022-12-27
5150,Nike,Chuck Taylor,91.8,8.4,Rojo,Cuero,323.3,Sí,4,Fútbol,12,2022-10-03
5151,New Balance,Ultraboost,186.24,8.7,Negro,,359.3,Sí,4,Deporte,24,2022-05-12
5152,Puma,RS-X,85.93,5.4,Verde,,296.3,Sí,2,Fútbol,6,2023-12-06
5153,New Balance,Air Max,71.73,7.4,Azul,Lona,223.5,No,3,Fútbol,12,2021-05-05
5154,Under Armour,Free Run,123.42,5.9,Azul,Sintético,225.0,Sí,1,Gym,6,2022-12-08
5155,Adidas,Classic,197.85,5.4,Rojo,Lona,337.1,En stock,5,Gym,12,2021-07-17
5156,Adidas,RS-X,86.31,11.9,Gris,Lona,286.1,En stock,4,Gym,12,2023-01-30
5157,Nike,Chuck Taylor,150.82,7.3,Negro,,240.1,No,5,Tenis,12,2020-08-03
5158,Under Armour,Classic,164.24,10.7,Rojo Oscuro,Malla,298.3,En stock,2,Tenis,6,2021-07-12
5159,Puma,Free Run,85.65,6.8,Rojo Oscuro,,212.8,No,5,Tenis,6,2020-06-07
5160,Under Armour,Free Run,159.23,9.8,Verde,Cuero,316.4,Sí,2,Gym,12,2021-05-03
5161,Reebok,Classic,105.17,10.3,Verde,Malla,253.8,Sí,5,Fútbol,12,2021-11-16
5162,Reebok,Air Max,144.85,9.2,Negro,Malla,359.5,Sí,1,Gym,12,2023-06-19
5163,Nike,Free Run,145.03,8.3,Rojo,Cuero,262.1,Sí,1,Tenis,6,2022-03-04
5164,Nike,RS-X,130.37,7.9,Rojo Oscuro,,291.0,Sí,1,Deporte,24,2020-01-05
5165,Reebok,Chuck Taylor,63.54,7.4,Blanco,Lona,202.3,No,1,Tenis,6,2020-12-26
5166,Puma,Classic,175.3,11.5,Blanco,,214.5,No,1,Deporte,-3,2021-04-03
5167,Reebok,Classic,98.12,10.8,Azul,Sintético,278.5,Sí,1,Fútbol,6,2020-09-04
5168,Reebok,Chuck Taylor,77.98,11.8,Rojo Oscuro,Lona,296.0,Sí,2,Deporte,12,2022-08-03
5169,New Balance,,56.12,5.9,Blanco,Lona,320.0,Sí,4,Running,6,2021-02-25
5170,Nike,Classic,138.63,10.1,Gris,Sintético,258.3,Sí,5,Running,-3,2020-01-15
5171,New Balance,Classic,151.63,11.6,Verde,Lona,339.0,No,1,Tenis,12,2022-01-05
5172,Nike,Classic,52.49,6.3,Verde,Cuero,372.0,Sí,2,Basketball,6,2023-02-19
5173,Adidas,Classic,126.81,5.5,Rojo,,356.0,En stock,2,Basketball,6,2020-10-03
5174,Adidas,Chuck Taylor,83.97,10.2,Gris,Malla,207.9,Sí,2,Basketball,6,2021-03-28
5175,Reebok,Air Max,146.78,9.0,Rojo Oscuro,Lona,296.1,Sí,4,Basketball,6,2023-11-14
5176,Reebok,Chuck Taylor,76.15,10.9,Azul,,221.0,No,5,Basketball,-3,2023-08-10
5177,Puma,RS-X,153.64,6.0,Negro,Lona,248.4,Sí,4,Gym,12,2021-08-20
5178,Reebok,RS-X,108.01,10.6,Gris,Lona,397.3,No,3,Tenis,12,2021-03-21
5179,Adidas,,190.51,6.4,Blanco,Lona,228.5,No,2,Tenis,12,2020-07-28
5180,Puma,Chuck Taylor,70.63,6.1,Rojo,Sintético,299.8,Sí,3,Deporte,12,2021-12-14
5181,Under Armour,,101.16,6.1,Blanco,Malla,323.6,No,1,Deporte,6,2020-10-28
5182,Puma,RS-X,67.02,10.7,Rojo Oscuro,Sintético,340.5,No,1,Tenis,6,2023-05-31
5183,Reebok,RS-X,188.7,9.7,Gris,Cuero,311.9,Sí,4,Deporte,12,2020-01-03
5184,New Balance,Ultraboost,181.6,8.7,Rojo Oscuro,Sintético,202.0,Sí,5,Gym,-3,2022-09-16
5185,Addidas,Free Run,88.69,7.5,Verde,,265.3,No,3,Fútbol,6,2023-01-21
5186,Nike,RS-X,149.0,11.1,Negro,,303.5,Sí,5,Gym,6,2021-06-03
5187,Nike,Air Max,172.58,7.7,Negro,Cuero,217.6,No,4,Running,12,2023-12-22
